Conjunto,Alicuota,Coeficiente
Salta AHORA 12 Responsable Insc,0.033,1.7438926835271673
Salta AHORA 18 Responsable Insc,0.033,2.307817589576548
Salta AHORA 24 Responsable Insc,0.033,3.081662981623111
San Juan 1 CUOTA Responsable Insc,0.03,1.0
San Juan AHORA 03 Responsable Insc,0.03,1.1521571478394137
San Juan AHORA 06 Responsable Insc,0.03,1.3216357958171163
San Juan AHORA 12 Responsable Insc,0.03,1.7397544517442605
San Juan AHORA 18 Responsable Insc,0.03,2.2982069370958262
San Juan AHORA 24 Responsable Insc,0.03,3.061286417666464
San Luis 1 CUOTA Responsable Insc,0.023,1.0
San Luis AHORA 03 Responsable Insc,0.023,1.1508603265978017
San Luis AHORA 06 Responsable Insc,0.023,1.3184952287161409
San Luis AHORA 12 Responsable Insc,0.023,1.7302753334809975
San Luis AHORA 18 Responsable Insc,0.023,2.2763221269627207
San Luis AHORA 24 Responsable Insc,0.023,3.0152578003630235
Santa Cruz 1 CUOTA Responsable Insc,0.03,1.0
Santa Cruz AHORA 03 Responsable Insc,0.03,1.1521571478394137
Santa Cruz AHORA 06 Responsable Insc,0.03,1.3216357958171163
Santa Cruz AHORA 12 Responsable Insc,0.03,1.7397544517442605
Santa Cruz AHORA 18 Responsable Insc,0.03,2.2982069370958262
Santa Cruz AHORA 24 Responsable Insc,0.03,3.061286417666464
Santa Fe 1 CUOTA Responsable Insc,0.045,1.0
Santa Fe AHORA 03 Responsable Insc,0.045,1.1550125357180387
Santa Fe AHORA 06 Responsable Insc,0.045,1.3285786444819565
Santa Fe AHORA 12 Responsable Insc,0.045,1.760919198219282
Santa Fe AHORA 18 Responsable Insc,0.045,2.3477265791882824
Santa Fe AHORA 24 Responsable Insc,0.045,3.167363686577764
Santiago del Estero 1 CUOTA Responsable Insc,0.03,1.0
Santiago del Estero AHORA 03 Responsable Insc,0.03,1.1521571478394137
Santiago del Estero AHORA 06 Responsable Insc,0.03,1.3216357958171163
Santiago del Estero AHORA 12 Responsable Insc,0.03,1.7397544517442605
Santiago del Estero AHORA 18 Responsable Insc,0.03,2.2982069370958262
Santiago del Estero AHORA 24 Responsable Insc,0.03,3.061286417666464
Tierra del Fuego 1 CUOTA Responsable Insc,0.03,1.0
Tierra del Fuego AHORA 03 Responsable Insc,0.03,1.1521571478394137
Tierra del Fuego AHORA 06 Responsable Insc,0.03,1.3216357958171163
Tierra del Fuego AHORA 12 Responsable Insc,0.03,1.7397544517442605
Tierra del Fuego AHORA 18 Responsable Insc,0.03,2.2982069370958262
Tierra del Fuego AHORA 24 Responsable Insc,0.03,3.061286417666464
Tucumán 1 CUOTA Responsable Insc,0.029,1.0
Tucumán AHORA 03 Responsable Insc,0.029,1.1519705243120455
Tucumán AHORA 06 Responsable Insc,0.029,1.3211833567076905
Tucumán AHORA 12 Responsable Insc,0.029,1.7383852536541031
Tucumán AHORA 18 Responsable Insc,0.029,2.2950346984654484
Tucumán AHORA 24 Responsable Insc,0.029,3.054582589380088
Buenos Aires 1 CUOTA Monotributista,0.05,1.0
Buenos Aires AHORA 03 Monotributista,0.05,1.1405496181689
Buenos Aires AHORA 06 Monotributista,0.05,1.2938024380500952
Buenos Aires AHORA 12 Monotributista,0.05,1.6577315641860506
Buenos Aires AHORA 18 Monotributista,0.05,2.1145936485272787
Buenos Aires AHORA 24 Monotributista,0.05,2.690364328104788
CABA 1 CUOTA Monotributista,0.03,1.0
CABA AHORA 03 Monotributista,0.03,1.137142635516103
CABA AHORA 06 Monotributista,0.03,1.285749818591447
CABA AHORA 12 Monotributista,0.03,1.6348101547042475
CABA AHORA 18 Monotributista,0.03,2.0655174691235723
CABA AHORA 24 Monotributista,0.03,2.5967929653929778
Catamarca 1 CUOTA Monotributista,0.03,1.0
Catamarca AHORA 03 Monotributista,0.03,1.137142635516103
Catamarca AHORA 06 Monotributista,0.03,1.285749818591447
Catamarca AHORA 12 Monotributista,0.03,1.6348101547042475
Catamarca AHORA 18 Monotributista,0.03,2.0655174691235723
Catamarca AHORA 24 Monotributista,0.03,2.5967929653929778
Chaco 1 CUOTA Monotributista,0.035,1.0
Chaco AHORA 03 Monotributista,0.035,1.137978801757903
Chaco AHORA 06 Monotributista,0.035,1.2877213051076537
Chaco AHORA 12 Monotributista,0.035,1.6403894171486626
Chaco AHORA 18 Monotributista,0.035,2.077376844823365
Chaco AHORA 24 Monotributista,0.035,2.6192009811969994
Chubut 1 CUOTA Monotributista,0.05,1.0
Chubut AHORA 03 Monotributista,0.05,1.1405496181689
Chubut AHORA 06 Monotributista,0.05,1.2938024380500952
Chubut AHORA 12 Monotributista,0.05,1.6577315641860506
Chubut AHORA 18 Monotributista,0.05,2.1145936485272787
Chubut AHORA 24 Monotributista,0.05,2.690364328104788
Córdoba 1 CUOTA Monotributista,0.0475,1.0
Córdoba AHORA 03 Monotributista,0.0475,1.1402013213260838
Córdoba AHORA 06 Monotributista,0.0475,1.2929768099630958
Córdoba AHORA 12 Monotributista,0.0475,1.6553652040874145
Córdoba AHORA 18 Monotributista,0.0475,2.109483529330858
Córdoba AHORA 24 Monotributista,0.0475,2.6805165751770685
Corrientes 1 CUOTA Monotributista,0.029,1.0
Corrientes AHORA 03 Monotributista,0.029,1.1369766169371045
Corrientes AHORA 06 Monotributista,0.029,1.2853587589545186
Corrientes AHORA 12 Monotributista,0.029,1.633705947888464
Corrientes AHORA 18 Monotributista,0.029,2.063176855655384
Corrientes AHORA 24 Monotributista,0.029,2.592385581542343
Entre Ríos 1 CUOTA Monotributista,0.035,1.0
Entre Ríos AHORA 03 Monotributista,0.035,1.137978801757903
Entre Ríos AHORA 06 Monotributista,0.035,1.2877213051076537
Entre Ríos AHORA 12 Monotributista,0.035,1.6403894171486626
Entre Ríos AHORA 18 Monotributista,0.035,2.077376844823365
Entre Ríos AHORA 24 Monotributista,0.035,2.6192009811969994
Formosa 1 CUOTA Monotributista,0.03,1.0
Formosa AHORA 03 Monotributista,0.03,1.137142635516103
Formosa AHORA 06 Monotributista,0.03,1.285749818591447
Formosa AHORA 12 Monotributista,0.03,1.6348101547042475
Formosa AHORA 18 Monotributista,0.03,2.0655174691235723
Formosa AHORA 24 Monotributista,0.03,2.5967929653929778
Jujuy 1 CUOTA Monotributista,0.03,1.0
Jujuy AHORA 03 Monotributista,0.03,1.137142635516103
Jujuy AHORA 06 Monotributista,0.03,1.285749818591447
Jujuy AHORA 12 Monotributista,0.03,1.6348101547042475
Jujuy AHORA 18 Monotributista,0.03,2.0655174691235723
Jujuy AHORA 24 Monotributista,0.03,2.5967929653929778
La Pampa 1 CUOTA Monotributista,0.028,1.0
La Pampa AHORA 03 Monotributista,0.028,1.1368109998210547
La Pampa AHORA 06 Monotributista,0.028,1.2849687682151243
La Pampa AHORA 12 Monotributista,0.028,1.6326055757798854
La Pampa AHORA 18 Monotributista,0.028,2.0608465028604
La Pampa AHORA 24 Monotributista,0.028,2.588002460779605
La Rioja 1 CUOTA Monotributista,0.025,1.0
La Rioja AHORA 03 Monotributista,0.025,1.1363165427410764
La Rioja AHORA 06 Monotributista,0.025,1.2838051657362497
La Rioja AHORA 12 Monotributista,0.025,1.6293272689740823
La Rioja AHORA 18 Monotributista,0.025,2.0539163382183223
La Rioja AHORA 24 Monotributista,0.025,2.574996689867172
Mendoza 1 CUOTA Monotributista,0.0275,1.0
Mendoza AHORA 03 Monotributista,0.0275,1.1368109998210547
Mendoza AHORA 06 Monotributista,0.0275,1.2849687682151243
Mendoza AHORA 12 Monotributista,0.0275,1.6326055757798854
Mendoza AHORA 18 Monotributista,0.0275,2.0608465028604
Mendoza AHORA 24 Monotributista,0.0275,2.588002460779605
Misiones 1 CUOTA Monotributista,0.025,1.0
Misiones AHORA 03 Monotributista,0.025,1.1363165427410764
Misiones AHORA 06 Monotributista,0.025,1.2838051657362497
Misiones AHORA 12 Monotributista,0.025,1.6293272689740823
Misiones AHORA 18 Monotributista,0.025,2.0539163382183223
Misiones AHORA 24 Monotributista,0.025,2.574996689867172
Neuquén 1 CUOTA Monotributista,0.03,1.0
Neuquén AHORA 03 Monotributista,0.03,1.137142635516103
Neuquén AHORA 06 Monotributista,0.03,1.285749818591447
Neuquén AHORA 12 Monotributista,0.03,1.6348101547042475
Neuquén AHORA 18 Monotributista,0.03,2.0655174691235723
Neuquén AHORA 24 Monotributista,0.03,2.5967929653929778
Río Negro 1 CUOTA Monotributista,0.033,1.0
Río Negro AHORA 03 Monotributista,0.033,1.1376431146815105
Río Negro AHORA 06 Monotributista,0.033,1.2869294550138193
Río Negro AHORA 12 Monotributista,0.033,1.638145984902824
Río Negro AHORA 18 Monotributista,0.033,2.072601555747624
Río Negro AHORA 24 Monotributista,0.033,2.610162726992363
Salta 1 CUOTA Monotributista,0.033,1.0
Salta AHORA 03 Monotributista,0.033,1.1376431146815105
Salta AHORA 06 Monotributista,0.033,1.2869294550138193
Salta AHORA 12 Monotributista,0.033,1.638145984902824
Salta AHORA 18 Monotributista,0.033,2.072601555747624
Salta AHORA 24 Monotributista,0.033,2.610162726992363
San Juan 1 CUOTA Monotributista,0.03,1.0
San Juan AHORA 03 Monotributista,0.03,1.137142635516103
San Juan AHORA 06 Monotributista,0.03,1.285749818591447
San Juan AHORA 12 Monotributista,0.03,1.6348101547042475
San Juan AHORA 18 Monotributista,0.03,2.0655174691235723
San Juan AHORA 24 Monotributista,0.03,2.5967929653929778
San Luis 1 CUOTA Monotributista,0.023,1.0
San Luis AHORA 03 Monotributista,0.023,1.1359888855237792
San Luis AHORA 06 Monotributista,0.023,1.283034695635236
San Luis AHORA 12 Monotributista,0.023,1.6271605427081868
San Luis AHORA 18 Monotributista,0.023,2.0493463131192686
San Luis AHORA 24 Monotributista,0.023,2.5664438860221104
Santa Cruz 1 CUOTA Monotributista,0.03,1.0
Santa Cruz AHORA 03 Monotributista,0.03,1.137142635516103
Santa Cruz AHORA 06 Monotributista,0.03,1.285749818591447
Santa Cruz AHORA 12 Monotributista,0.03,1.6348101547042475
Santa Cruz AHORA 18 Monotributista,0.03,2.0655174691235723
Santa Cruz AHORA 24 Monotributista,0.03,2.5967929653929778
Santa Fe 1 CUOTA Monotributista,0.045,1.0
Santa Fe AHORA 03 Monotributista,0.045,1.1396821007619111
Santa Fe AHORA 06 Monotributista,0.045,1.2917470318235524
Santa Fe AHORA 12 Monotributista,0.045,1.651847418552285
Santa Fe AHORA 18 Monotributista,0.045,2.101905607540469
Santa Fe AHORA 24 Monotributista,0.045,2.665958224022848
Santiago del Estero 1 CUOTA Monotributista,0.03,1.0
Santiago del Estero AHORA 03 Monotributista,0.03,1.137142635516103
Santiago del Estero AHORA 06 Monotributista,0.03,1.285749818591447
Santiago del Estero AHORA 12 Monotributista,0.03,1.6348101547042475
Santiago del Estero AHORA 18 Monotributista,0.03,2.0655174691235723
Santiago del Estero AHORA 24 Monotributista,0.03,2.5967929653929778
Tierra del Fuego 1 CUOTA Monotributista,0.03,1.0
Tierra del Fuego AHORA 03 Monotributista,0.03,1.137142635516103
Tierra del Fuego AHORA 06 Monotributista,0.03,1.285749818591447
Tierra del Fuego AHORA 12 Monotributista,0.03,1.6348101547042475
Tierra del Fuego AHORA 18 Monotributista,0.03,2.0655174691235723
Tierra del Fuego AHORA 24 Monotributista,0.03,2.5967929653929778
Tucumán 1 CUOTA Monotributista,0.029,1.0
Tucumán AHORA 03 Monotributista,0.029,1.1369766169371045
Tucumán AHORA 06 Monotributista,0.029,1.2853587589545186
Tucumán AHORA 12 Monotributista,0.029,1.633705947888464
Tucumán AHORA 18 Monotributista,0.029,2.063176855655384
Tucumán AHORA 24 Monotributista,0.029,2.592385581542343
