Conjunto,Alicuota,Coeficiente
Salta AHORA 18 Responsable Insc,0.033,2.5642081674034256
Salta AHORA 24 Responsable Insc,0.033,3.5726777430500207
San Juan 1 CUOTA Responsable Insc,0.03,1
San Juan AHORA 03 Responsable Insc,0.03,1.1725419049506982
San Juan AHORA 06 Responsable Insc,0.03,1.367555203782246
San Juan AHORA 12 Responsable Insc,0.03,1.86260875480494
San Juan AHORA 18 Responsable Insc,0.03,2.5514688632377363
San Juan AHORA 24 Responsable Insc,0.03,3.54364162404823
San Luis 1 CUOTA Responsable Insc,0.023,1
San Luis AHORA 03 Responsable Insc,0.023,1.1710455692600603
San Luis AHORA 06 Responsable Insc,0.023,1.3638430827088224
San Luis AHORA 12 Responsable Insc,0.023,1.8507908520772873
San Luis AHORA 18 Responsable Insc,0.023,2.52252353113401
San Luis AHORA 24 Responsable Insc,0.023,3.4783016884432714
Santa Cruz 1 CUOTA Responsable Insc,0.03,1
Santa Cruz AHORA 03 Responsable Insc,0.03,1.1725419049506982
Santa Cruz AHORA 06 Responsable Insc,0.03,1.367555203782246
Santa Cruz AHORA 12 Responsable Insc,0.03,1.86260875480494
Santa Cruz AHORA 18 Responsable Insc,0.03,2.5514688632377363
Santa Cruz AHORA 24 Responsable Insc,0.03,3.54364162404823
Santa Fe 1 CUOTA Responsable Insc,0.045,1
Santa Fe AHORA 03 Responsable Insc,0.045,1.1758381644322349
Santa Fe AHORA 06 Responsable Insc,0.045,1.3757701971996323
Santa Fe AHORA 12 Responsable Insc,0.045,1.8890639706109151
Santa Fe AHORA 18 Responsable Insc,0.045,2.6172820565346506
Santa Fe AHORA 24 Responsable Insc,0.045,3.695466994812246
Santiago del Estero 1 CUOTA Responsable Insc,0.03,1
Santiago del Estero AHORA 03 Responsable Insc,0.03,1.1725419049506982
Santiago del Estero AHORA 06 Responsable Insc,0.03,1.367555203782246
Santiago del Estero AHORA 12 Responsable Insc,0.03,1.86260875480494
Santiago del Estero AHORA 18 Responsable Insc,0.03,2.5514688632377363
Santiago del Estero AHORA 24 Responsable Insc,0.03,3.54364162404823
Tierra del Fuego 1 CUOTA Responsable Insc,0.03,1
Tierra del Fuego AHORA 03 Responsable Insc,0.03,1.1725419049506982
Tierra del Fuego AHORA 06 Responsable Insc,0.03,1.367555203782246
Tierra del Fuego AHORA 12 Responsable Insc,0.03,1.86260875480494
Tierra del Fuego AHORA 18 Responsable Insc,0.03,2.5514688632377363
Tierra del Fuego AHORA 24 Responsable Insc,0.03,3.54364162404823
Tucumán 1 CUOTA Responsable Insc,0.029,1
Tucumán AHORA 03 Responsable Insc,0.029,1.172326542082992
Tucumán AHORA 06 Responsable Insc,0.029,1.367020274698466
Tucumán AHORA 12 Responsable Insc,0.029,1.8609005403982983
Tucumán AHORA 18 Responsable Insc,0.029,2.547267638920551
Tucumán AHORA 24 Responsable Insc,0.029,3.534103291673262
Buenos Aires 1 CUOTA Monotributista,0.05,1
Buenos Aires AHORA 03 Monotributista,0.05,1.1409912041273078
Buenos Aires AHORA 06 Monotributista,0.05,1.290923473758647
Buenos Aires AHORA 12 Monotributista,0.05,1.6663275809728306
Buenos Aires AHORA 18 Monotributista,0.05,2.070542074307504
Buenos Aires AHORA 24 Monotributista,0.05,2.5258437246195866
CABA 1 CUOTA Monotributista,0.03,1
CABA AHORA 03 Monotributista,0.03,1.137587367611199
CABA AHORA 06 Monotributista,0.03,1.282990114675534
CABA AHORA 12 Monotributista,0.03,1.6440533392906411
CABA AHORA 18 Monotributista,0.03,2.0251612494447104
CABA AHORA 24 Monotributista,0.03,2.4448734532310064
Catamarca 1 CUOTA Monotributista,0.03,1
Catamarca AHORA 03 Monotributista,0.03,1.137587367611199
Catamarca AHORA 06 Monotributista,0.03,1.282990114675534
Catamarca AHORA 12 Monotributista,0.03,1.6440533392906411
Catamarca AHORA 18 Monotributista,0.03,2.0251612494447104
Catamarca AHORA 24 Monotributista,0.03,2.4448734532310064
Chaco 1 CUOTA Monotributista,0.035,1
Chaco AHORA 03 Monotributista,0.035,1.1384227666169455
Chaco AHORA 06 Monotributista,0.035,1.2849320699332178
Chaco AHORA 12 Monotributista,0.035,1.6494712807993708
